playerid,playername,UnifiedPlayerID
203085,AustinRivers,330
202325,WesleyJohnson,331
1718,PaulPierce,332
202332,ColeAldrich,333
1626161,WillieCauley-Stein,334
201158,MarcoBelinelli,335
202341,JamesAnderson,336
201954,DarrenCollison,337
200752,RudyGay,338
200765,RajonRondo,339
203112,QuincyAcy,340
202326,DeMarcusCousins,341
201956,OmriCasspi,342
203463,BenMcLemore,343
203552,SethCurry,344
2406,CaronButler,345
201585,KostaKoufos,346
1626164,DevinBooker,347
202688,BrandonKnight,348
2199,TysonChandler,349
203955,BryceCotton,350
201603,SonnyWeems,351
202693,MarkieffMorris,352
203933,TJWarren,353
101179,RonniePrice,354
200782,PJTucker,355
203462,ArchieGoodwin,356
203458,AlexLen,357
202720,JonLeuer,358
203141,MirzaTeletovic,359
2594,KyleKorver,360
200757,ThaboSefolosha,361
200794,PaulMillsap,362
201143,AlHorford,363
201952,JeffTeague,364
202714,ShelvinMack,365
203118,MikeScott,366
203145,KentBazemore,367
203200,JustinHoliday,368
203471,DennisSchroder,369
203488,MikeMuscala,370
203934,LamarPatterson,371
204002,WalterTavares,372
1626181,NormanPowell,373
1626196,JoshRichardson,374
204028,TarikBlack,375
1626242,LuisMontero,376
204025,TimFrazier,377
1626192,PatConnaughton,378
203943,NoahVonleh,379
201945,GeraldHenderson,380
202329,Al-FarouqAminu,381
202334,EdDavis,382
203086,MeyersLeonard,383
203090,MauriceHarkless,384
203459,AllenCrabbe,385
203468,CJMcCollum,386
203486,MasonPlumlee,387
2549,ChrisKaman,388
1626154,RJHunter,389
203950,JarnellStokes,390
203081,DamianLillard,391
200779,SteveNovak,392
203492,RayMcCallum,393
203996,DamienInglis,394
203501,TimHardaway Jr.,395
200811,LouAmundson,396
2403,NeneHilario,397
1626257,SalahMejri,398
201593,NikolaPekovic,399
2446,RasualButler,400
201168,TiagoSplitter,401
977,KobeBryant,402
203497,RudyGobert,403
203516,JamesEnnis,404
202343,ElliotWilliams,405
1626144,EmmanuelMudiay,406
203485,LorenzoBrown,407
203912,CJWilcox,408
2571,LeandroBarbosa,409
201619,SashaKaun,410
204014,DamjanRudez,411
203930,SeanKilpatrick,412
203078,BradleyBeal,413
1626245,CristianoFelicio,414
1626185,JarellMartin,415
201148,BrandanWright,416
203906,DevynMarble,417
203951,KeithAppling,418
1626266,J.J.O'Brien,419
203461,AnthonyBennett,420
1626214,BryceDejean-Jones,421
203928,CoryJefferson,422
203925,JoeHarris,423
201975,JodieMeeks,424
203915,SpencerDinwiddie,425
101126,NateRobinson,426
203893,RussSmith,427
203475,ErickGreen,428
203963,ShayneWhittington,429
201933,BlakeGriffin,430
202349,GreivisVasquez,431
203921,CleanthonyEarly,432
1626179,TerryRozier,433
1626175,JordanMickey,434
1626174,ChristianWood,435
202692,AlecBurks,436
201228,CJWatson,437
1626178,RondaeHollis-Jefferson,438
2744,AlJefferson,439
203961,EricMoreland,440
201177,JoshMcRoberts,441
202339,EricBledsoe,442
101236,CharlesHayes,443
203515,PhilPressey,444
1626251,DujeDukan,445
1626146,CliffAlexander,446
202690,JimmerFredette,447
203962,JoshHuestis,448
203100,TonyWroten,449
1626176,RakeemChristmas,450
0,0,0
